publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-1792431586,0,0, ,Winter,0,0,0,0,0
-1791026850,0,0, ,,0,0,0,-1,0
-1789339839,0,0, ,Spring,0,0,0,-1,0
-1787928037,0,0, ,,,,,,0
-1787149447,0,0, ,,0,0,0,-1,0
-1786538609,0,0, ,,0,0,0,-1,0
-1786202361,0,0, ,,0,0,0,-1,0
-1785613229,0,0, ,,0,0,0,0,0
-1784922590,0,0, ,,0,0,0,-1,0
-1784833594,0,0, ,,0,-1,0,0,0
-1784257934,0,0, ,,,,,,0
-1784126214,0,0,Published in The Irish Press,,0,0,0,0,0
-1784082177,0,0, ,,0,0,0,0,0
-1782196947,0,0, ,,0,0,0,-1,0
-1780694905,0,0, ,,,,,,0
-1780667580,0,0, ,,0,0,0,-1,0
-1779214045,0,0, ,,0,0,0,0,0
-1778224058,0,0, ,,0,0,0,0,0
-1778041757,0,0, ,,,,,,0
-1778029708,0,0, ,,0,0,0,0,0
-1777387538,0,0, ,,,,,,0
-1776855000,0,0, ,Winter/Spring,0,0,0,0,0
-1776772674,0,0, ,,0,0,0,-1,0
-1775487976,0,0, ,,,,,,0
-1775190723,0,0,Published in The Irish Press.,,0,0,0,0,0
-1774248168,0,0, ,,0,0,0,0,0
-1774003334,0,0, July-Sept,,,,,,0
-1772009598,0,0, ,,0,-1,0,0,0
-1771397176,0,0, ,,0,0,0,0,0
-1770530087,0,0, ,,0,7,0,9,0
-1770204337,0,0,Year given as 83/84,Winter,,,,,0
-1769310418,0,0, ,,0,0,0,0,0
-1768861944,0,0, ,,,,,,0
-1767594781,0,0, ,,0,3,0,4,0
-1767332119,0,0,No year given; c. Autumn/Winter 1962/63.,,0,0,0,0,0
-1764426443,0,0, ,,0,0,0,0,0
-1764372937,0,0, ,,0,0,0,0,0
-1762617188,0,0, ,,0,0,0,0,0
-1762435807,0,0, ,,,,,,0
-1761564522,0,0, ,,,,,,0
-1760879165,0,0, ,,0,0,0,-1,0
-1756937319,0,0, ,,0,-1,0,0,0
-1755018329,0,0, ,,0,-1,0,0,0
-1754687737,0,0, ,,0,-1,0,0,0
-1754291595,0,0, ,Fall,,,,,0
-1753179525,0,0, ,,,,,,0
-1751148540,0,0, ,,0,0,0,0,0
-1750853758,0,0, ,,0,0,0,-1,0
