publication_id,length_minutes,production_company,country_of_origin,country_of_origin_2,country_of_origin_3,notes,date_video,date_dvd
619573289,50,627615541,Ireland,,,,,
629823528,20,-259323305,Ireland,,,,0,0
644956125,90,-1667979887,,,,"Also produced by Calypso Film Produktion (Germany), Delux Productions (Luxembourg), Northpro (UK).  In association with Bord Scannán na hÉireann/irish Film Board, British Screen, NRW Filmstiftung/WDR TV.  USA Release 6/1994, Irish release 24/2/1995",,
648045376,13,627615541,Ireland,,,,0,0
652916104,10,1708453635,Ireland,,,Part of a trilogy incorporating Forty Below and Glass Hour. With Irish Film Board/Bord Scannán na hÉireann,,
655610586,0,627615541,Ireland,,,Galway Film Fleadh 2004,0,0
656302944,23,-1797924093,Ireland,,,"Dublin Film Festival, 1994",,
658239583,4,-259323305,Ireland,,,Cork Film Festival 2001,0,0
666535446,5,627615541,Ireland,,,Based on a series of paintings of the same name by Pauline Bewick. With Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
688053967,12,627615541,Ireland,,,Cork Film Festival 2001,0,0
